REGION,user_id,campaign,medium,source,LP_benefit_activation,unsubscribe,cancellation
europe-west1,6D7pm2x9JqaiZ0NArYRoiWqUicG2,23WAE-FB-PC-AO-CPL-bestsellers_2023_WAL_Ecom_Facebook_PROS_AlwaysOn_Consideration_Bestsellers,paid_social,facebook,,,
europe-west1,6DQLG60nUHOwgwz60uFQep5lvU33,23WAB-SE-NA-AO-CPM-brand_2023_WAL_Brand_Search_NA_AlwaysOn_Awareness_Brand,cpc,google,4,,
europe-west1,6Dt3zNlE20hw5zaxgZYmVggyE9N2,daisycon_Face à la crise,affiliate,daisycon,,,
europe-west1,6E2ymvrRKGPrAtgh8Dvn7elrStl2,(organic),organic,google,,,
europe-west1,6E3thxZOkMTHwAo9a1Vp0n6nsUJ3,23VLE-FB-MP-AO-ROAS-bestsellers_2023_VLG_Ecom_Facebook_MID_AlwaysOn_Purchase_Bestsellers,paid_social,facebook,,,
europe-west1,6E5Q3fYzQdcsHHKk49160rd9ZDD2,23VLE-FB-RP-D-ROAS_2023_VLG_Ecom_Facebook_RET_Dynamic_Purchase,paid_social,facebook,,,
europe-west1,6EIn6tymj5MKL1Du9mhyfbXQjsx2,22VLE-PM-PP-D-ROAS_2022_VLG_Ecom_Pmax_PROS_Dynamic_Purchase_,cpc,google,,,
europe-west1,6ELjnjBwqISJevpr14FPMHcgC843,23WAE-FB-PC-AO-CPL-bestsellers_2023_WAL_Ecom_Facebook_PROS_AlwaysOn_Consideration_Bestsellers,paid_social,facebook,,,
europe-west1,6EdgXuc4ltTxnElA4ts77VzewWE2,23VLE-FB-PP-D-ROAS_2023_VLG_Ecom_Facebook_PROS_Dynamic_Purchase,paid_social,facebook,4,,
europe-west1,6EiukihedNThcC9NTyhXtAWCbm02,23VLE-PM-PP-D-ROAS_2023_VLG_Ecom_Pmax_PROS_Dynamic_Purchase,cpc,google,6,,
europe-west1,6EmUtjY3h0ZrtOZ2y3Osb4oW8zE3,23WAE-FB-PC-AO-CPL-bestsellers_2023_WAL_Ecom_Facebook_PROS_AlwaysOn_Consideration_Bestsellers,paid_social,facebook,,,
europe-west1,6F4L2bz7yER44crW1SHOKxEnCoP2,24VLE-FB-RP-AO-ROAS-bestsellers_2024_VLG_Ecom_Facebook_RET_AlwaysOn_Purchase,paid_social,facebook instagram audience_network messenger,,,
europe-west1,6FKljBVX0nP9eJRpZX6Ut2qEicA2,23VLE-FB-PP-D-ROAS_2023_VLG_Ecom_Facebook_PROS_Dynamic_Purchase,paid_social,facebook,4,,
europe-west1,6FLN7xCvyyXqM6cR9JtCBbxNlP62,(referral),referral,foodello.nl,2,,
europe-west1,6FLU3QqSQbTW7d7O8r9I7ZfYOxq2,23WAB-SE-NA-AO-CPM-brand_2023_WAL_Brand_Search_NA_AlwaysOn_Awareness_Brand,cpc,google,,,
europe-west1,6FYrsBzgkHcz7J6CfalpdsxfA9h2,23WAE-FB-PC-AO-CPL-bestsellers_2023_WAL_Ecom_Facebook_PROS_AlwaysOn_Consideration_Bestsellers,paid_social,facebook,2,,
europe-west1,6FdFeCroQGclMi1DhlgOgZB6B4m1,23VLE-FB-PC-AO-CPL-bestsellers_2023_VLG_Ecom_Facebook_PROS_AlwaysOn_Consideration_Bestsellers,paid_social,facebook,,,
europe-west1,6FymtbDOrIN1ECEskcUvpUGenuH2,22VLB-SE-NA-AO-CPM-brand_2022_VLG_Brand_Search_NA_AlwaysOn_Awareness_Brand,cpc,google,12,,
europe-west1,6G6QvuxN68Weur6RAhKtRRi1S1q2,23WAB-SE-NA-AO-CPM-brand_2023_WAL_Brand_Search_NA_AlwaysOn_Awareness_Brand,cpc,google,,,
europe-west1,6GB0Ef6mZ0MZ8bRM5SIkEofdLrA3,23VLE-FB-PC-AO-CPL-bestsellers_2023_VLG_Ecom_Facebook_PROS_AlwaysOn_Consideration_Bestsellers,paid_social,facebook,2,,
europe-west1,6GCxfIlWcBOpweBjkSCFRQZzsLI3,23WAE-FB-PC-AO-CPL-bestsellers_2023_WAL_Ecom_Facebook_PROS_AlwaysOn_Consideration_Bestsellers,paid_social,facebook,,,
europe-west1,6GMyhUTVy9NfNeglZOpIgStzng72,daisycon_Deals.be,affiliate,daisycon,,,
europe-west1,6GQIFbNHLKZDJp5NXh5XzzxHxjP2,23VLE-FB-PP-D-ROAS_2023_VLG_Ecom_Facebook_PROS_Dynamic_Purchase,paid_social,facebook,1,,
europe-west1,6GYE5ZFZqvZXl1EkVswM3fCQFjz2,23WAB-SE-NA-AO-CPM-brand_2023_WAL_Brand_Search_NA_AlwaysOn_Awareness_Brand,cpc,google,,,
europe-west1,6Gu0mKgduvgOi2G50Jc1UDwr7To2,23WAE-FB-PC-D-CPL-_2023_WAL_Ecom_Facebook_PROS_Dynamic_Consideration_,paid_social,facebook,,,
europe-west1,6Gwnlw8fYvdvVoZ4E6Tn6XFtprs2,22VLB-SE-NA-AO-CPM-brand_2022_VLG_Brand_Search_NA_AlwaysOn_Awareness_Brand,cpc,google,2,,
